"","title","title_type","genre","runtime","mpaa_rating","studio","thtr_rel_year","thtr_rel_month","thtr_rel_day","dvd_rel_year","dvd_rel_month","dvd_rel_day","imdb_rating","imdb_num_votes","critics_rating","critics_score","audience_rating","audience_score","best_pic_nom","best_pic_win","best_actor_win","best_actress_win","best_dir_win","top200_box","director","actor1","actor2","actor3","actor4","actor5"
"15","Rhinestone","Feature Film","Comedy",111,"PG","20th Century Fox",1984,6,20,2005,3,22,3.6,5544,"Rotten",15,"Spilled",36,"no","no","no","no","no","no","Bob Clark (III)","Dolly Parton","Sylvester Stallone","Richard Farnsworth","Ron Leibman","Tim Thomerson"
"16","Burn After Reading","Feature Film","Drama",96,"R","Focus Features",2008,8,27,2008,12,21,7,240033,"Certified Fresh",78,"Upright",64,"no","no","no","yes","yes","no","Joel Coen","George Clooney","Frances McDormand","John Malkovich","Brad Pitt","Tilda Swinton"
"17","The Doors","Feature Film","Drama",140,"R","Sony Pictures Home Entertainment",1991,3,1,1997,8,19,7.2,66489,"Rotten",54,"Upright",80,"no","no","no","no","yes","no","Oliver Stone","Val Kilmer","Meg Ryan","Kevin Dillon","Kyle MacLachlan","Frank Whaley"
"18","The Wood","Feature Film","Drama",106,"R","Paramount Pictures",1999,7,16,2000,1,18,6.9,6336,"Fresh",61,"Upright",92,"no","no","no","no","no","no","Rick Famuyiwa","Omar Epps","Sean Nelson","Taye Diggs","Trent Cameron","Richard T. Jones"
"19","Jason X","Feature Film","Horror",91,"R","New Line Cinema",2002,4,26,2004,6,1,4.4,37769,"Rotten",19,"Spilled",24,"no","no","no","no","no","no","James Isaac","Kane Hodder","Lexa Doig","Lisa Ryder","Chuck Campbell","Jonathan Potts"
"20","Dragon Wars","Feature Film","Drama",90,"PG-13","Sony Pictures Home Entertainment",2007,9,13,2008,1,8,3.6,21268,"Rotten",29,"Spilled",19,"no","no","no","no","no","no","Hyung-rae Shim","Jason Behr","Amanda Brooks","Robert Forster","Aimee Garcia","Craig Robinson"
"21","Fallen","Feature Film","Drama",124,"R","Warner Home Video",1997,6,1,1998,6,16,7,56201,"Rotten",40,"Upright",73,"no","no","yes","no","no","no","Gregory Hoblit","Denzel Washington","John Goodman","Donald Sutherland","Embeth Davidtz","James Gandolfini"
"22","The Gleaners and I","Documentary","Documentary",82,"Unrated","Zeitgeist Films",2001,4,6,2002,7,23,7.6,3459,"Fresh",92,"Upright",86,"no","no","no","no","no","no","Agnes Varda","Bodan Litnanski","Francois Wertheimer","Agnes Varda","Margaret Dumont","Virginia Grey"
"23","Tamara Drewe","Feature Film","Drama",107,"R","Sony Pictures Classics",2010,10,8,2011,2,8,6.2,16717,"Fresh",66,"Spilled",42,"no","no","no","no","no","no","Stephen Frears","Gemma Arterton","Roger Allam","Bill Camp","Dominic Cooper","Luke Evans"
"24","Not Without My Daughter","Feature Film","Drama",116,"PG-13","MGM Home Entertainment",1991,1,11,2001,10,2,6.2,9357,"Rotten",47,"Upright",71,"no","no","no","yes","no","no","Brian Gilbert","Sally Field","Alfred Molina","Sheila Rosenthal","Roshan Seth","Sarah Badel"
"25","The Yes Men Fix the World","Documentary","Documentary",87,"Unrated","Cinetic Media",2009,1,18,2010,4,1,7.6,4541,"Certified Fresh",79,"Upright",77,"no","no","no","no","no","no","Andy Bichlbaum","Andy Bichlbaum","Reggie Waits","Mike Bonanno",NA,NA
"26","Oh, God! You Devil","Feature Film","Comedy",97,"PG","WARNER BROTHERS PICTURES",1984,11,9,2005,2,15,5.3,1816,"Rotten",40,"Spilled",41,"no","no","no","no","no","no","Paul Bogart","George Burns","Ted Wass","Roxanne Hart","Eugene Roche","John Doolittle"
"27","Meet Joe Black","Feature Film","Drama",178,"PG-13","Universal Pictures",1998,11,13,1999,4,6,7.1,163490,"Rotten",51,"Upright",81,"no","no","yes","no","no","no","Martin Brest","Brad Pitt","Anthony Hopkins","Claire Forlani","Jake Weber","Marcia Gay Harden"
"28","The Bay","Feature Film","Horror",84,"R","Roadside Attraction",2012,11,2,2013,3,5,5.6,19285,"Certified Fresh",77,"Spilled",43,"no","no","no","no","yes","no","Barry Levinson","Kristen Connolly","Will Rogers (IV)","Kether Donohue","Frank Deal","Stephen Kunken"
"29","Locke","Feature Film","Mystery & Suspense",85,"R","A24 Films",2014,4,25,2014,8,12,7.1,82851,"Certified Fresh",91,"Upright",71,"no","no","no","no","no","no","Steven Knight","Tom Hardy","Tom Holland (X)","Bill Milner","Andrew Scott","Ruth Wilson"
"30","The Muppet Christmas Carol","Feature Film","Science Fiction & Fantasy",85,"G","Walt Disney Home Entertainment",1992,1,1,2002,10,8,7.7,33101,"Fresh",69,"Upright",85,"no","no","no","no","no","no","Brian Henson","Michael Caine","Steve Whitmire","Frank Oz","Dave Goelz","Jerry Nelson"
"31","Die Hard 2","Feature Film","Mystery & Suspense",124,"R","20th Century Fox",1990,7,2,1999,3,9,7.1,259822,"Fresh",69,"Upright",70,"no","no","no","no","no","no","Renny Harlin","Bruce Willis","Bonnie Bedelia","William Atherton","Reginald VelJohnson","Franco Nero"
"32","The Reckoning","Feature Film","Documentary",112,"R","Paramount Classics",2004,3,5,2004,8,3,6.6,4908,"Rotten",40,"Spilled",57,"no","no","no","no","no","no","Pamela Yates","Paul Bettany","Willem Dafoe","Simon McBurney","Ewen Bremner","Gina McKee"
"33","Alice in Wonderland","Feature Film","Action & Adventure",108,"PG","Walt Disney Pictures",2010,3,5,2010,6,1,6.5,290356,"Rotten",52,"Spilled",55,"no","no","no","no","no","no","Tim Burton","Johnny Depp","Mia Wasikowska","Anne Hathaway","Helena Bonham Carter","Matt Lucas"
"34","I'm Not There","Feature Film","Drama",135,"R","The Weinstein Co.",2007,11,21,2008,5,6,7,47297,"Certified Fresh",76,"Upright",70,"no","no","no","yes","no","no","Todd Haynes","Cate Blanchett","Christian Bale","Richard Gere","Heath Ledger","Marcus Carl Franklin"
"35","Three Wishes","Feature Film","Drama",115,"PG","HBO Video",1995,11,3,2001,8,7,6.1,2145,"Rotten",13,"Spilled",51,"no","no","no","no","no","no","Martha Coolidge","Patrick Swayze","Mary Elizabeth Mastrantonio","Joe Mazzello","Seth Mumy","David Marshall Grant"
"36","Aliens","Feature Film","Action & Adventure",137,"R","20th Century Fox Film Corporat",1986,7,18,1999,6,1,8.4,466400,"Certified Fresh",98,"Upright",94,"no","no","no","no","yes","no","James Cameron","Sigourney Weaver","Carrie Henn","Michael Biehn","Paul Reiser","Bill Paxton"
"37","Driving Miss Daisy","Feature Film","Drama",99,"PG","Fathom Events",1989,6,1,1997,4,29,7.4,69338,"Certified Fresh",81,"Upright",81,"yes","yes","no","yes","no","no","Bruce Beresford","Jessica Tandy","Morgan Freeman","Dan Aykroyd","Patti LuPone","Esther Rolle"
"38","Max","Feature Film","Drama",106,"R","Lions Gate Films",2002,12,27,2003,5,20,6.6,6228,"Fresh",69,"Upright",64,"no","no","no","no","no","no","Menno Meyjes","John Cusack","Noah Taylor","Leelee Sobieski","Molly Parker","Ulrich Thomsen"
"39","Serpico","Feature Film","Drama",130,"R","Paramount Pictures",1973,12,5,2002,12,3,7.8,75468,"Fresh",90,"Upright",88,"no","no","yes","no","no","no","Sidney Lumet","Al Pacino","John Randolph","Jack Kehoe","Tony Roberts","Biff McGuire"
"40","Basic","Feature Film","Drama",98,"R","Sony Pictures Entertainment",2003,3,28,2003,7,8,6.5,48519,"Rotten",21,"Upright",64,"no","no","no","no","no","no","John McTiernan","John Travolta","Connie Nielsen","Samuel L. Jackson","Tim Daly","Taye Diggs"
"41","The Guru","Feature Film","Comedy",94,"R","Universal Pictures",2002,1,31,2003,6,3,5.4,13523,"Rotten",57,"Spilled",40,"no","no","no","no","no","no","Daisy von Scherler Mayer","Jimi Mistry","Heather Graham","Marisa Tomei","Michael McKean","Dash Mihok"
"42","The Color Purple","Feature Film","Drama",154,"PG-13","Warner Home Video",1985,12,16,2003,2,18,7.8,58668,"Fresh",88,"Upright",94,"yes","no","no","no","yes","no","Steven Spielberg","Whoopi Goldberg","Danny Glover","Margaret Avery","Oprah Winfrey","Willard E. Pugh"
"43","The Dream Team","Feature Film","Comedy",113,"PG-13","MCA Universal Home Video",1989,4,7,2003,7,1,6.5,9654,"Rotten",54,"Upright",62,"no","no","no","no","no","no","Howard Zieff","Michael Keaton","Christopher Lloyd","Peter Boyle","Stephen Furst","Dennis Boutsikaris"
"44","The Man Without a Face","Feature Film","Drama",115,"PG-13","Warner Home Video",1993,8,25,2004,2,24,6.7,22079,"Fresh",67,"Upright",64,"no","no","no","no","yes","no","Mel Gibson","Mel Gibson","Nick Stahl","Margaret Whitton","Fay Masterson","Gaby Hoffmann"
"45","The White Countess","Feature Film","Drama",135,"PG-13","Sony Pictures Classics",2005,12,21,2006,5,16,6.7,5258,"Rotten",50,"Spilled",49,"no","no","no","no","no","no","James Ivory","Ralph Fiennes","Natasha Richardson","Vanessa Redgrave","Lynn Redgrave","Madeleine Potter"
"46","Viva Knievel!","Feature Film","Drama",106,"PG","WARNER BROTHERS PICTURES",1977,7,15,2005,5,31,2.7,761,"Rotten",17,"Spilled",17,"no","no","no","no","no","no","Gordon Douglas","Evel Knievel","Lauren Hutton","Gene Kelly","Red Buttons","Leslie Nielsen"
"47","Rising Sun","Feature Film","Drama",125,"R","Twentieth Century Fox Home Entertainment",1993,7,30,2000,6,20,6.2,33839,"Rotten",35,"Spilled",40,"no","no","no","no","no","no","Philip Kaufman","Sean Connery","Wesley Snipes","Harvey Keitel","Kevin Anderson","Mako"
"48","Mojados: Through the Night","Documentary","Documentary",65,"Unrated","Diva",2004,3,12,2005,8,2,7.3,183,"Fresh",73,"Upright",88,"no","no","no","no","no","no","Tommy Davis","Tommy Davis","Guapo","Oso","Tigre","Viejo"
"49","Seven Pounds","Feature Film","Drama",123,"PG-13","Sony Pictures",2008,12,19,2009,3,31,7.7,225130,"Rotten",27,"Upright",75,"no","no","no","no","no","no","Gabriele Muccino","Rosario Dawson","Woody Harrelson","Michael Ealy","Barry Pepper","Elpidia Carrillo"
"50","The Mothman Prophecies","Feature Film","Mystery & Suspense",119,"PG-13","Screen Gems",2002,1,25,2002,6,4,6.5,62241,"Rotten",52,"Spilled",56,"no","no","no","no","no","no","Mark Pellington","Richard Gere","Laura Linney","Debra Messing","Will Patton","Lucinda Jenney"
"51","Breaking and Entering","Feature Film","Drama",120,"R","The Weinstein Company",2007,2,16,2007,5,8,6.6,19714,"Rotten",34,"Spilled",52,"no","no","no","no","yes","no","Anthony Minghella","Jude Law","Juliette Binoche","Robin Wright","Martin Freeman","Ray Winstone"
"52","The English Patient","Feature Film","Drama",162,"R","Miramax Films",1996,11,15,1998,3,24,7.4,137126,"Certified Fresh",84,"Upright",83,"yes","yes","yes","no","yes","no","Anthony Minghella","Ralph Fiennes","Juliette Binoche","Willem Dafoe","Kristin Scott Thomas","Colin Firth"
"53","Heaven & Earth","Feature Film","Drama",140,"R","Warner Home Video",1994,6,1,2004,10,19,6.8,10468,"Rotten",44,"Upright",72,"no","no","no","no","yes","no","Oliver Stone","Tommy Lee Jones","Hiep Thi Le","Joan Chen","Dr. Haing S. Ngor","Debbie Reynolds"
"54","The Last Kiss","Feature Film","Drama",115,"R","Paramount",2006,9,15,2006,12,26,6.5,37770,"Rotten",46,"Spilled",59,"no","no","no","no","no","no","Tony Goldwyn","Zach Braff","Jacinda Barrett","Casey Affleck","Rachel Bilson","Michael Weston"
"55","Three of Hearts","Feature Film","Drama",102,"R","Sony Pictures Home Entertainment",1993,4,30,2004,5,4,5.5,1628,"Rotten",56,"Spilled",38,"no","no","no","no","no","no","Yurek Bogayevicz","William Baldwin","Kelly Lynch","Sherilyn Fenn","Joe Pantoliano","Gail Strickland"
"56","The Tortured","Feature Film","Mystery & Suspense",79,"R","IFC Films",2012,6,15,2012,10,16,5.5,5587,"Rotten",6,"Spilled",35,"no","no","no","no","no","no","Robert Lieberman","Erika Christensen","Jesse Metcalfe","Bill Moseley","Fulvio Cecere","Bill Lippincott"
"57","The Package","Feature Film","Mystery & Suspense",108,"R","Orion Home Video",1989,8,25,2001,5,15,6.4,6247,"Fresh",64,"Spilled",43,"no","no","yes","no","no","no","Andrew Davis","Gene Hackman","Joanna Cassidy","Tommy Lee Jones","John Heard","Kevin Crowley"
"58","Happy, Texas","Feature Film","Comedy",98,"PG-13","Miramax Films",1999,10,1,2001,10,2,6.3,8646,"Certified Fresh",81,"Spilled",54,"no","no","no","no","no","no","Mark Illsley","Jeremy Northam","Steve Zahn","Ally Walker","Illeana Douglas","William H. Macy"
"59","Then She Found Me","Feature Film","Drama",100,"R","ThinkFilm",2007,9,7,2008,9,2,6,8320,"Rotten",50,"Spilled",44,"no","no","yes","yes","no","no","Helen Hunt","Helen Hunt","Bette Midler","Colin Firth","Matthew Broderick","Ben Shenkman"
"60","Promises","Documentary","Documentary",106,"Unrated","Cowboy Pictures",2002,3,22,2004,11,16,8.5,2362,"Certified Fresh",96,"Upright",96,"no","no","no","no","no","no","B.Z. Goldberg","Yarko","Daniel","Mahmoud","Shlomo","Sanabel Cherqaoui"
"61","Most Dangerous Man in America: Daniel Ellsberg and the Pentagon Papers","Documentary","Documentary",92,"Unrated","First Run Features",2009,6,1,2010,7,20,7.8,1942,"Certified Fresh",96,"Upright",89,"no","no","no","no","no","no","Judith Ehrlich","Daniel Ellsberg","Patricia Marx Ellsberg","Richard Falk","Thomas Schelling","Thomas Oliphant"
"62","The Recruit","Feature Film","Mystery & Suspense",115,"PG-13","Touchstone Pictures",2003,1,31,2003,5,27,6.6,110238,"Rotten",43,"Spilled",58,"no","no","yes","no","no","no","Roger Donaldson","Al Pacino","Colin Farrell","Bridget Moynahan","Gabriel Macht","Mike Realba"
"63","The Thin Blue Line","Documentary","Documentary",103,"Unrated","HBO Video",1988,8,25,2005,7,26,8.1,14359,"Fresh",100,"Upright",90,"no","no","no","no","no","no","Errol Morris","Derek Horton","Ron Thornhill","Marianne Leone","Amanda Caprio","Michael Nicoll"
"64","Lord of the Flies","Feature Film","Drama",90,"R","Nelson Entertainment",1989,1,1,2001,11,20,6.4,21704,"Fresh",63,"Spilled",52,"no","no","no","no","no","no","Harry Hook","Balthazar Getty","Chris Furrh","Danuel Pipoly","James Badge Dale","Gary Rule"
"65","Same Time, Next Year","Feature Film","Drama",119,"PG","Universal Pictures",1978,11,22,2004,4,6,7.2,4375,"Rotten",40,"Upright",85,"no","no","no","yes","no","no","Robert Mulligan","Ellen Burstyn","Alan Alda","Ivan Bonar","Bernie Kuby","Cosmo Sardo"
"66","Proof of Life","Feature Film","Drama",135,"R","Warner Bros. Pictures",2000,12,8,2001,6,19,6.2,48324,"Rotten",40,"Spilled",43,"no","no","yes","no","no","no","Taylor Hackford","Meg Ryan","Russell Crowe","David Morse","David Caruso","Pamela Reed"
"67","Waking Up in Reno","Feature Film","Comedy",91,"R","Miramax Films",2002,10,25,2003,4,8,5.5,4768,"Rotten",13,"Spilled",30,"no","no","no","yes","no","no","Jordan Brady","Charlize Theron","Patrick Swayze","Natasha Richardson","Billy Bob Thornton","Chelcie Ross"
"68","Silent Fall","Feature Film","Mystery & Suspense",101,"R","Warner Home Video",1994,10,28,2000,6,13,5.9,2944,"Rotten",24,"Spilled",38,"no","no","yes","no","no","no","Bruce Beresford","Richard Dreyfuss","Ben Faulkner","Linda Hamilton","John Lithgow","J.T. Walsh"
"69","Rock 'n' Roll High School","Feature Film","Comedy",93,"PG","New World Pictures",1979,8,4,1999,5,2,6.8,6788,"Fresh",79,"Upright",75,"no","no","no","no","no","no","Allan Arkush","P.J. Soles","Vincent Van Patten","Clint Howard","Dey Young","Loren Lester"
"70","Twilight Zone---The Movie","Feature Film","Horror",101,"PG","Warner Bros. Pictures",1983,6,24,2007,10,9,6.5,24783,"Fresh",65,"Spilled",55,"no","no","no","no","no","no","Joe Dante","Dan Aykroyd","John Lithgow","Nancy Cartwright","Albert Brooks","Vic Morrow"
"71","The Golden Bowl","Feature Film","Drama",130,"R","Lions Gate Films",2000,5,14,2001,11,6,6,3745,"Rotten",54,"Spilled",39,"no","no","no","no","no","no","James Ivory","Uma Thurman","Kate Beckinsale","Jeremy Northam","Nick Nolte","Anjelica Huston"
"72","Easy","Feature Film","Drama",99,"R","Magic Lamp Releasing",2004,11,26,2005,3,1,5.9,1493,"Rotten",59,"Spilled",47,"no","no","no","no","no","no","Jane Weinstock","Marguerite Moreau","Naveen Andrews","Emily Deschanel","Jordan Garrett","Caroline Goodall"
"73","Major League: Back to the Minors","Feature Film","Comedy",100,"PG-13","Warner Home Video",1998,4,17,2000,5,16,4.4,5616,"Rotten",21,"Spilled",24,"no","no","no","no","no","no","John Warren","Scott Bakula","Corbin Bernsen","Dennis Haysbert","Takaaki Ishibashi","Jensen Daggett"
"74","The Wedding Banquet (Xi yan)","Feature Film","Drama",106,"R","Good Machine",1993,8,4,2004,6,15,7.6,10492,"Fresh",96,"Upright",87,"no","no","no","no","yes","no","Ang Lee","Winston Chao","May Chin","Mitchell Lichtenstein","Sihung Lung","Ah-Leh Gua"
"75","Gotti","TV Movie","Drama",116,"R","HBO Video",1996,8,17,2000,9,19,7.3,4451,"Fresh",60,"Upright",83,"no","no","no","no","no","no","Robert Harmon","Armand Assante","William Forsythe","Anthony Quinn","Vincent Pastore","Richard C. Sarafian"
"76","Strange Brew","Feature Film","Comedy",90,"R","WARNER BROTHERS PICTURES",1983,8,19,2002,10,1,6.8,12269,"Fresh",71,"Upright",81,"no","no","no","no","no","no","Dave Thomas","Max von Sydow","Paul Dooley","Lynne Griffin","Angus MacInnes","Tom Harvey"
"77","Robocop 2","Feature Film","Action & Adventure",117,"R","MGM",1990,6,22,1997,10,22,5.7,60335,"Rotten",32,"Spilled",35,"no","no","no","no","no","no","Irvin Kershner","Peter Weller","Dan O'Herlihy","Nancy Allen","Felton Perry","Belinda Bauer"
"78","Riders (Steal)","Feature Film","Action & Adventure",83,"R","Miramax",2002,8,5,2005,4,25,5.5,5035,"Rotten",29,"Spilled",34,"no","no","no","no","no","no","Gerard Pires","Natasha Henstridge","Stephen Dorff","Bruce Payne","Karen Cliche","Cle Bennett"
"79","Warrior","Feature Film","Drama",140,"PG-13","Lionsgate",2011,9,9,2011,12,20,8.2,315051,"Certified Fresh",82,"Upright",92,"no","no","no","no","no","no","Gavin O'Connor","Joel Edgerton","Tom Hardy","Nick Nolte","Jennifer Morrison (II)","Frank Grillo"
"80","Percy Jackson: Sea of Monsters","Feature Film","Drama",106,"PG","20th Century Fox",2013,8,7,2013,12,17,5.9,82737,"Rotten",42,"Spilled",55,"no","no","no","no","no","no","Thor Freudenthal","Logan Lerman","Brandon T. Jackson","Alexandra Daddario","Nathan Fillion","Jake Abel"
"81","Visioneers","Feature Film","Drama",94,"R","Gravitas",2008,6,12,2009,7,21,6.1,4944,"Fresh",70,"Spilled",54,"no","no","no","no","no","no","Jared Drake","Zach Galifianakis","Judy Greer","Mia Maestro","Missi Pyle","Aubrey Morris"
"82","Bats","Feature Film","Drama",91,"R","Destination Films",1999,10,22,2001,8,7,3.6,8229,"Rotten",17,"Spilled",14,"no","no","no","no","no","no","Louis Morneau","Lou Diamond Phillips","Dina Meyer","Bob Gunton","Leon","Carlos Jacott"
"83","The Brother from Another Planet","Feature Film","Drama",108,"R","Twentieth Century Fox Home Entertainment",1984,9,7,2003,10,25,6.8,4516,"Fresh",92,"Upright",76,"no","no","no","no","no","no","John Sayles","Joe Morton","Darryl Edwards","Steve James","Leonard Jackson","Bill Cobbs"
"84","Blame It on Rio","Feature Film","Comedy",100,"R","MGM",1984,2,17,2001,5,22,5.7,7858,"Rotten",9,"Spilled",40,"no","no","no","no","no","no","Stanley Donen","Michael Caine","Michelle Johnson","Joseph Bologna","Valerie Harper","Demi Moore"
"85","North Face (Nordwand)","Feature Film","Drama",126,"Unrated","Music Box Films",2010,1,29,2010,5,11,7.4,10938,"Certified Fresh",84,"Upright",82,"no","no","no","no","no","no","Philipp Stolzl","Benno Furmann","Florian Lukas","Johanna Wokalek","Georg Friedrich","Simon Schwarz"
"86","Predator","Feature Film","Action & Adventure",107,"R","20th Century Fox",1987,6,12,2000,12,26,7.8,279704,"Certified Fresh",78,"Upright",87,"no","no","no","no","no","no","Shane Black","Arnold Schwarzenegger","Carl Weathers","Elpidia Carrillo","Bill Duke","Jesse Ventura"
"87","The Reef","Feature Film","Mystery & Suspense",94,"R","Image Entertainment",2010,5,15,2011,7,19,5.8,11192,"Fresh",78,"Spilled",41,"no","no","no","no","no","no","Andrew Traucki","Damian Walshe-Howling","Zoe Naylor","Adrienne Pickering","Gyton Grantley","Kieran Darcy-Smith"
"88","Dirty Sanchez: The Movie","Documentary","Comedy",94,"R",NA,2007,9,11,2007,9,4,6.2,3851,"Rotten",40,"Upright",75,"no","no","no","no","no","no","Jim Hickey","Lee Dainton","Dan Joyce","Michael Pancho Locke","Matt Pritchard","Howard Marks"
"89","Shakedown","Feature Film","Drama",97,"R","MCA Universal Home Video",1988,5,6,1998,6,15,5.8,1838,"Fresh",71,"Spilled",43,"no","no","no","no","no","no","James Glickenhaus","Sam Elliott","Peter Weller","Patricia Charbonneau","Blanche Baker","Richard Brooks (VI)"
"90","The Principal","Feature Film","Drama",109,"R","Sony Pictures Home Entertainment",1987,9,18,2002,7,30,6.2,6552,"Rotten",50,"Spilled",52,"no","no","no","no","no","no","Christopher Cain","James Belushi","Michael Wright","Louis Gossett Jr","Rae Dawn Chong","Esai Morales"
"91","A New Life","Feature Film","Drama",104,"PG-13","Paramount Pictures",1988,3,25,2013,2,26,5.7,390,"Rotten",29,"Spilled",25,"no","no","no","no","no","no","Alan Alda","Alan Alda","Ann-Margret","Mary Kay Place","John Shea","Hal Linden"
"92","Arlington Road","Feature Film","Mystery & Suspense",117,"R","Sony Pictures Home Entertainment",1999,7,9,2001,12,11,7.2,68429,"Fresh",62,"Upright",74,"no","no","yes","no","no","no","Mark Pellington","Jeff Bridges","Tim Robbins","Hope Davis","Joan Cusack","Robert Gossett"
"93","Annie Hall","Feature Film","Comedy",93,"PG","United Artists",1977,4,20,1998,4,28,8.1,182983,"Certified Fresh",98,"Upright",93,"yes","yes","no","yes","yes","no","Woody Allen","Woody Allen","Diane Keaton","Tony Roberts","Paul Simon","Carol Kane"
"94","Charlie: The Life and Art of Charles Chaplin","Documentary","Documentary",132,"Unrated","Warner Bros.",2004,2,13,NA,NA,NA,8,1147,"Fresh",95,"Upright",90,"no","no","no","no","no","no","Richard Schickel","Woody Allen","Johnny Depp","Sydney Pollack","Milos Forman","Marcel Marceau"
"95","The Sessions","Feature Film","Drama",95,"R","Fox Searchlight Pictures",2012,10,19,2013,2,12,7.2,35635,"Certified Fresh",93,"Upright",80,"no","no","no","yes","no","no","Ben Lewin","John Hawkes","Helen Hunt","William H. Macy","Annika Marks","Moon Bloodgood"
"96","Prison","Feature Film","Drama",102,"R","New World Video",1988,3,4,2013,2,19,5.9,2569,"Rotten",40,"Spilled",34,"no","no","no","no","no","no","Renny Harlin","Lane Smith","Viggo Mortensen","Chelsea Field","Andre De Shields","Lincoln Kilpatrick"
"97","Kiss of Death","Feature Film","Drama",101,"R","Twentieth Century Fox Home Entertainment",1995,5,19,2004,6,1,5.9,13980,"Fresh",68,"Spilled",37,"no","no","yes","yes","no","no","Barbet Schroeder","David Caruso","Samuel L. Jackson","Helen Hunt","Kathryn Erbe","Nicolas Cage"
