country,year,population
Benin,1957,1925173
Benin,1962,2151895
Benin,1967,2427334
Benin,1972,2761407
Benin,1977,3168267
Benin,1982,3641603
Benin,1987,4243788
Benin,1992,4981671
Benin,1997,6066080
Benin,2002,7026113
Benin,2007,8078314
Bolivia,1952,2883315
Bolivia,1957,3211738
Bolivia,1962,3593918
Bolivia,1967,4040665
Bolivia,1972,4565872
Bolivia,1977,5079716
Bolivia,1982,5642224
Bolivia,1987,6156369
Bolivia,1992,6893451
Bolivia,1997,7693188
Bolivia,2002,8445134
Bolivia,2007,9119152
Bosnia and Herzegovina,1952,2791000
Bosnia and Herzegovina,1957,3076000
Bosnia and Herzegovina,1962,3349000
Bosnia and Herzegovina,1967,3585000
Bosnia and Herzegovina,1972,3819000
Bosnia and Herzegovina,1977,4086000
Bosnia and Herzegovina,1982,4172693
Bosnia and Herzegovina,1987,4338977
Bosnia and Herzegovina,1992,4256013
Bosnia and Herzegovina,1997,3607000
Bosnia and Herzegovina,2002,4165416
Bosnia and Herzegovina,2007,4552198
Botswana,1952,442308
Botswana,1957,474639
Botswana,1962,512764
Botswana,1967,553541
Botswana,1972,619351
Botswana,1977,781472
Botswana,1982,970347
Botswana,1987,1151184
Botswana,1992,1342614
Botswana,1997,1536536
Botswana,2002,1630347
Botswana,2007,1639131
Brazil,1952,56602560
Brazil,1957,65551171
Brazil,1962,76039390
Brazil,1967,88049823
Brazil,1972,100840058
Brazil,1977,114313951
Brazil,1982,128962939
Brazil,1987,142938076
Brazil,1992,155975974
Brazil,1997,168546719
Brazil,2002,179914212
Brazil,2007,190010647
Bulgaria,1952,7274900
Bulgaria,1957,7651254
Bulgaria,1962,8012946
Bulgaria,1967,8310226
Bulgaria,1972,8576200
Bulgaria,1977,8797022
Bulgaria,1982,8892098
Bulgaria,1987,8971958
Bulgaria,1992,8658506
Bulgaria,1997,8066057
Bulgaria,2002,7661799
Bulgaria,2007,7322858
Burkina Faso,1952,4469979
Burkina Faso,1957,4713416
Burkina Faso,1962,4919632
Burkina Faso,1967,5127935
Burkina Faso,1972,5433886
Burkina Faso,1977,5889574
Burkina Faso,1982,6634596
Burkina Faso,1987,7586551
Burkina Faso,1992,8878303
Burkina Faso,1997,10352843
Burkina Faso,2002,12251209
Burkina Faso,2007,14326203
Burundi,1952,2445618
Burundi,1957,2667518
Burundi,1962,2961915
Burundi,1967,3330989
Burundi,1972,3529983
Burundi,1977,3834415
Burundi,1982,4580410
Burundi,1987,5126023
Burundi,1992,5809236
Burundi,1997,6121610
Burundi,2002,7021078
Burundi,2007,8390505
Cambodia,1952,4693836
Cambodia,1957,5322536
Cambodia,1962,6083619
Cambodia,1967,6960067
Cambodia,1972,7450606
Cambodia,1977,6978607
Cambodia,1982,7272485
Cambodia,1987,8371791
Cambodia,1992,10150094
Cambodia,1997,11782962
Cambodia,2002,12926707
Cambodia,2007,14131858
Cameroon,1952,5009067
Cameroon,1957,5359923
Cameroon,1962,5793633
Cameroon,1967,6335506
Cameroon,1972,7021028
Cameroon,1977,7959865
Cameroon,1982,9250831
Cameroon,1987,10780667
Cameroon,1992,12467171
Cameroon,1997,14195809
Cameroon,2002,15929988
Cameroon,2007,17696293
Canada,1952,14785584
Canada,1957,17010154
Canada,1962,18985849
Canada,1967,20819767
Canada,1972,22284500
Canada,1977,23796400
Canada,1982,25201900
Canada,1987,26549700
Canada,1992,28523502
Canada,1997,30305843
Canada,2002,31902268
Canada,2007,33390141
Central African Republic,1952,1291695
Central African Republic,1957,1392284
Central African Republic,1962,1523478
Central African Republic,1967,1733638
Central African Republic,1972,1927260
Central African Republic,1977,2167533
Central African Republic,1982,2476971
Central African Republic,1987,2840009
Central African Republic,1992,3265124
Central African Republic,1997,3696513
Central African Republic,2002,4048013
Central African Republic,2007,4369038
Chad,1952,2682462
Chad,1957,2894855
Chad,1962,3150417
Chad,1967,3495967
Chad,1972,3899068
Chad,1977,4388260
Chad,1982,4875118
Chad,1987,5498955
Chad,1992,6429417
Chad,1997,7562011
Chad,2002,8835739
Chad,2007,10238807
Chile,1952,6377619
Chile,1957,7048426
Chile,1962,7961258
Chile,1967,8858908
Chile,1972,9717524
Chile,1977,10599793
Chile,1982,11487112
Chile,1987,12463354
Chile,1992,13572994
Chile,1997,14599929
Chile,2002,15497046
Chile,2007,16284741
China,1952,556263527
China,1957,637408000
China,1962,665770000
China,1967,754550000
China,1972,862030000
China,1977,943455000
China,1982,1000281000
China,1987,1084035000
China,1992,1164970000
China,1997,1230075000
China,2002,1280400000
China,2007,1318683096
Colombia,1952,12350771
Colombia,1957,14485993
Colombia,1962,17009885
Colombia,1967,19764027
Colombia,1972,22542890
Colombia,1977,25094412
Colombia,1982,27764644
Colombia,1987,30964245
Colombia,1992,34202721
Colombia,1997,37657830
Colombia,2002,41008227
Colombia,2007,44227550
Comoros,1952,153936
Comoros,1957,170928
Comoros,1962,191689
Comoros,1967,217378
Comoros,1972,250027
Comoros,1977,304739
Comoros,1982,348643
Comoros,1987,395114
Comoros,1992,454429
Comoros,1997,527982
Comoros,2002,614382
Comoros,2007,710960
"Congo, Dem. Rep.",1952,14100005
"Congo, Dem. Rep.",1957,15577932
"Congo, Dem. Rep.",1962,17486434
"Congo, Dem. Rep.",1967,19941073
"Congo, Dem. Rep.",1972,23007669
"Congo, Dem. Rep.",1977,26480870
"Congo, Dem. Rep.",1982,30646495
"Congo, Dem. Rep.",1987,35481645
"Congo, Dem. Rep.",1992,41672143
"Congo, Dem. Rep.",1997,47798986
"Congo, Dem. Rep.",2002,55379852
"Congo, Dem. Rep.",2007,64606759
"Congo, Rep.",1952,854885
"Congo, Rep.",1957,940458
"Congo, Rep.",1962,1047924
"Congo, Rep.",1967,1179760
"Congo, Rep.",1972,1340458
"Congo, Rep.",1977,1536769
"Congo, Rep.",1982,1774735
"Congo, Rep.",1987,2064095
"Congo, Rep.",1992,2409073
"Congo, Rep.",1997,2800947
"Congo, Rep.",2002,3328795
"Congo, Rep.",2007,3800610
Costa Rica,1952,926317
Costa Rica,1957,1112300
Costa Rica,1962,1345187
Costa Rica,1967,1588717
Costa Rica,1972,1834796
Costa Rica,1977,2108457
Costa Rica,1982,2424367
Costa Rica,1987,2799811
Costa Rica,1992,3173216
Costa Rica,1997,3518107
Costa Rica,2002,3834934
Costa Rica,2007,4133884
Cote d'Ivoire,1952,2977019
Cote d'Ivoire,1957,3300000
Cote d'Ivoire,1962,3832408
Cote d'Ivoire,1967,4744870
Cote d'Ivoire,1972,6071696
Cote d'Ivoire,1977,7459574
Cote d'Ivoire,1982,9025951
Cote d'Ivoire,1987,10761098
Cote d'Ivoire,1992,12772596
Cote d'Ivoire,1997,14625967
Cote d'Ivoire,2002,16252726
Cote d'Ivoire,2007,18013409
Croatia,1952,3882229
Croatia,1957,3991242
Croatia,1962,4076557
Croatia,1967,4174366
Croatia,1972,4225310
Croatia,1977,4318673
Croatia,1982,4413368
Croatia,1987,4484310
Croatia,1992,4494013
Croatia,1997,4444595
Croatia,2002,4481020
Croatia,2007,4493312
Cuba,1952,6007797
Cuba,1957,6640752
Cuba,1962,7254373
Cuba,1967,8139332
Cuba,1972,8831348
Cuba,1977,9537988
Cuba,1982,9789224
Cuba,1987,10239839
Cuba,1992,10723260
Cuba,1997,10983007
Cuba,2002,11226999
Cuba,2007,11416987
Czech Republic,1952,9125183
Czech Republic,1957,9513758
Czech Republic,1962,9620282
Czech Republic,1967,9835109
Czech Republic,1972,9862158
Czech Republic,1977,10161915
Czech Republic,1982,10303704
Czech Republic,1987,10311597
Czech Republic,1992,10315702
Czech Republic,1997,10300707
Czech Republic,2002,10256295
Czech Republic,2007,10228744
Denmark,1952,4334000
Denmark,1957,4487831
Denmark,1962,4646899
Denmark,1967,4838800
Denmark,1972,4991596
Denmark,1977,5088419
Denmark,1982,5117810
Denmark,1987,5127024
Denmark,1992,5171393
Denmark,1997,5283663
Denmark,2002,5374693
Denmark,2007,5468120
Djibouti,1952,63149
Djibouti,1957,71851
Djibouti,1962,89898
Djibouti,1967,127617
Djibouti,1972,178848
Djibouti,1977,228694
Djibouti,1982,305991
Djibouti,1987,311025
Djibouti,1992,384156
Djibouti,1997,417908
Djibouti,2002,447416
Djibouti,2007,496374
Dominican Republic,1952,2491346
Dominican Republic,1957,2923186
Dominican Republic,1962,3453434
Dominican Republic,1967,4049146
Dominican Republic,1972,4671329
Dominican Republic,1977,5302800
Dominican Republic,1982,5968349
Dominican Republic,1987,6655297
Dominican Republic,1992,7351181
Dominican Republic,1997,7992357
Dominican Republic,2002,8650322
Dominican Republic,2007,9319622
Ecuador,1952,3548753
Ecuador,1957,4058385
Ecuador,1962,4681707
Ecuador,1967,5432424
Ecuador,1972,6298651
Ecuador,1977,7278866
Ecuador,1982,8365850
Ecuador,1987,9545158
Ecuador,1992,10748394
Ecuador,1997,11911819
Ecuador,2002,12921234
Ecuador,2007,13755680
Egypt,1952,22223309
Egypt,1957,25009741
Egypt,1962,28173309
Egypt,1967,31681188
Egypt,1972,34807417
Egypt,1977,38783863
Egypt,1982,45681811
Egypt,1987,52799062
Egypt,1992,59402198
Egypt,1997,66134291
Egypt,2002,73312559
Egypt,2007,80264543
El Salvador,1952,2042865
El Salvador,1957,2355805
El Salvador,1962,2747687
El Salvador,1967,3232927
El Salvador,1972,3790903
El Salvador,1977,4282586
El Salvador,1982,4474873
El Salvador,1987,4842194
El Salvador,1992,5274649
El Salvador,1997,5783439
El Salvador,2002,6353681
El Salvador,2007,6939688
Equatorial Guinea,1952,216964
Equatorial Guinea,1957,232922
Equatorial Guinea,1962,249220
Equatorial Guinea,1967,259864
Equatorial Guinea,1972,277603
Equatorial Guinea,1977,192675
Equatorial Guinea,1982,285483
Equatorial Guinea,1987,341244
Equatorial Guinea,1992,387838
Equatorial Guinea,1997,439971
Equatorial Guinea,2002,495627
Equatorial Guinea,2007,551201
Eritrea,1952,1438760
Eritrea,1957,1542611
Eritrea,1962,1666618
Eritrea,1967,1820319
Eritrea,1972,2260187
Eritrea,1977,2512642
Eritrea,1982,2637297
Eritrea,1987,2915959
Eritrea,1992,3668440
Eritrea,1997,4058319
Eritrea,2002,4414865
Eritrea,2007,4906585
Ethiopia,1952,20860941
Ethiopia,1957,22815614
Ethiopia,1962,25145372
Ethiopia,1967,27860297
Ethiopia,1972,30770372
Ethiopia,1977,34617799
Ethiopia,1982,38111756
Ethiopia,1987,42999530
Ethiopia,1992,52088559
Ethiopia,1997,59861301
Ethiopia,2002,67946797
Ethiopia,2007,76511887
Finland,1952,4090500
Finland,1957,4324000
Finland,1962,4491443
Finland,1967,4605744
Finland,1972,4639657
Finland,1977,4738902
Finland,1982,4826933
Finland,1987,4931729
Finland,1992,5041039
Finland,1997,5134406
Finland,2002,5193039
Finland,2007,5238460
France,1952,42459667
France,1957,44310863
France,1962,47124000
France,1967,49569000
France,1972,51732000
France,1977,53165019
France,1982,54433565
France,1987,55630100
France,1992,57374179
France,1997,58623428
France,2002,59925035
France,2007,61083916
Gabon,1952,420702
Gabon,1957,434904
Gabon,1962,455661
Gabon,1967,489004
Gabon,1972,537977
Gabon,1977,706367
Gabon,1982,753874
Gabon,1987,880397
Gabon,1992,985739
Gabon,1997,1126189
Gabon,2002,1299304
Gabon,2007,1454867
Gambia,1952,284320
Gambia,1957,323150
Gambia,1962,374020
Gambia,1967,439593
Gambia,1972,517101
Gambia,1977,608274
Gambia,1982,715523
Gambia,1987,848406
Gambia,1992,1025384
Gambia,1997,1235767
Gambia,2002,1457766
Gambia,2007,1688359
Germany,1952,69145952
Germany,1957,71019069
Germany,1962,73739117
Germany,1967,76368453
Germany,1972,78717088
Germany,1977,78160773
Germany,1982,78335266
Germany,1987,77718298
Germany,1992,80597764
Germany,1997,82011073
Germany,2002,82350671
Germany,2007,82400996
Ghana,1952,5581001
Ghana,1957,6391288
Ghana,1962,7355248
Ghana,1967,8490213
Ghana,1972,9354120
Ghana,1977,10538093
Ghana,1982,11400338
Ghana,1987,14168101
Ghana,1992,16278738
Ghana,1997,18418288
Ghana,2002,20550751
Ghana,2007,22873338
Greece,1952,7733250
Greece,1957,8096218
Greece,1962,8448233
Greece,1967,8716441
Greece,1972,8888628
Greece,1977,9308479
Greece,1982,9786480
Greece,1987,9974490
Greece,1992,10325429
Greece,1997,10502372
Greece,2002,10603863
Greece,2007,10706290
Guatemala,1952,3146381
Guatemala,1957,3640876
Guatemala,1962,4208858
Guatemala,1967,4690773
Guatemala,1972,5149581
Guatemala,1977,5703430
Guatemala,1982,6395630
Guatemala,1987,7326406
Guatemala,1992,8486949
Guatemala,1997,9803875
Guatemala,2002,11178650
Guatemala,2007,12572928
Guinea,1952,2664249
Guinea,1957,2876726
Guinea,1962,3140003
Guinea,1967,3451418
Guinea,1972,3811387
Guinea,1977,4227026
Guinea,1982,4710497
Guinea,1987,5650262
Guinea,1992,6990574
Guinea,1997,8048834
Guinea,2002,8807818
Guinea,2007,9947814
Guinea-Bissau,1952,580653
Guinea-Bissau,1957,601095
Guinea-Bissau,1962,627820
Guinea-Bissau,1967,601287
Guinea-Bissau,1972,625361
Guinea-Bissau,1977,745228
Guinea-Bissau,1982,825987
Guinea-Bissau,1987,927524
Guinea-Bissau,1992,1050938
Guinea-Bissau,1997,1193708
Guinea-Bissau,2002,1332459
Guinea-Bissau,2007,1472041
Haiti,1952,3201488
Haiti,1957,3507701
Haiti,1962,3880130
Haiti,1967,4318137
Haiti,1972,4698301
Haiti,1977,4908554
Haiti,1982,5198399
Haiti,1987,5756203
Haiti,1992,6326682
Haiti,1997,6913545
Haiti,2002,7607651
Haiti,2007,8502814
Honduras,1952,1517453
Honduras,1957,1770390
Honduras,1962,2090162
Honduras,1967,2500689
Honduras,1972,2965146
Honduras,1977,3055235
Honduras,1982,3669448
Honduras,1987,4372203
Honduras,1992,5077347
Honduras,1997,5867957
Honduras,2002,6677328
Honduras,2007,7483763
"Hong Kong, China",1952,2125900
"Hong Kong, China",1957,2736300
"Hong Kong, China",1962,3305200
"Hong Kong, China",1967,3722800
"Hong Kong, China",1972,4115700
"Hong Kong, China",1977,4583700
"Hong Kong, China",1982,5264500
"Hong Kong, China",1987,5584510
"Hong Kong, China",1992,5829696
"Hong Kong, China",1997,6495918
"Hong Kong, China",2002,6762476
"Hong Kong, China",2007,6980412
Hungary,1952,9504000
Hungary,1957,9839000
Hungary,1962,10063000
Hungary,1967,10223422
Hungary,1972,10394091
Hungary,1977,10637171
Hungary,1982,10705535
Hungary,1987,10612740
Hungary,1992,10348684
Hungary,1997,10244684
Hungary,2002,10083313
Hungary,2007,9956108
Iceland,1952,147962
Iceland,1957,165110
Iceland,1962,182053
Iceland,1967,198676
Iceland,1972,209275
Iceland,1977,221823
Iceland,1982,233997
Iceland,1987,244676
Iceland,1992,259012
Iceland,1997,271192
Iceland,2002,288030
Iceland,2007,301931
India,1952,372000000
India,1957,409000000
India,1962,454000000
India,1967,506000000
India,1972,567000000
India,1977,634000000
India,1982,708000000
India,1987,788000000
India,1992,872000000
India,1997,959000000
India,2002,1034172547
India,2007,1110396331
Indonesia,1952,82052000
Indonesia,1957,90124000
Indonesia,1962,99028000
Indonesia,1967,109343000
Indonesia,1972,121282000
Indonesia,1977,136725000
Indonesia,1982,153343000
Indonesia,1987,169276000
Indonesia,1992,184816000
Indonesia,1997,199278000
Indonesia,2002,211060000
Indonesia,2007,223547000
Iran,1952,17272000
Iran,1957,19792000
Iran,1962,22874000
Iran,1967,26538000
Iran,1972,30614000
Iran,1977,35480679
Iran,1982,43072751
Iran,1987,51889696
Iran,1992,60397973
Iran,1997,63327987
Iran,2002,66907826
Iran,2007,69453570
Iraq,1952,5441766
Iraq,1957,6248643
Iraq,1962,7240260
Iraq,1967,8519282
Iraq,1972,10061506
Iraq,1977,11882916
Iraq,1982,14173318
Iraq,1987,16543189
Iraq,1992,17861905
Iraq,1997,20775703
Iraq,2002,24001816
Iraq,2007,27499638
Ireland,1952,2952156
Ireland,1957,2878220
Ireland,1962,2830000
Ireland,1967,2900100
Ireland,1972,3024400
Ireland,1977,3271900
Ireland,1982,3480000
Ireland,1987,3539900
Ireland,1992,3557761
Ireland,1997,3667233
Ireland,2002,3879155
Ireland,2007,4109086
Israel,1952,1620914
Israel,1957,1944401
Israel,1962,2310904
Israel,1967,2693585
Israel,1972,3095893
Israel,1977,3495918
Israel,1982,3858421
Israel,1987,4203148
Israel,1992,4936550
Israel,1997,5531387
Israel,2002,6029529
Israel,2007,6426679
Italy,1952,47666000
Italy,1957,49182000
Italy,1962,50843200
Italy,1967,52667100
Italy,1972,54365564
Italy,1977,56059245
Italy,1982,56535636
Italy,1987,56729703
Italy,1992,56840847
Italy,1997,57479469
Italy,2002,57926999
Italy,2007,58147733
Jamaica,1952,1426095
Jamaica,1957,1535090
Jamaica,1962,1665128
Jamaica,1967,1861096
Jamaica,1972,1997616
Jamaica,1977,2156814
Jamaica,1982,2298309
Jamaica,1987,2326606
Jamaica,1992,2378618
Jamaica,1997,2531311
Jamaica,2002,2664659
Jamaica,2007,2780132
Japan,1952,86459025
Japan,1957,91563009
Japan,1962,95831757
Japan,1967,100825279
Japan,1972,107188273
Japan,1977,113872473
Japan,1982,118454974
Japan,1987,122091325
Japan,1992,124329269
Japan,1997,125956499
Japan,2002,127065841
Japan,2007,127467972
Jordan,1952,607914
Jordan,1957,746559
Jordan,1962,933559
Jordan,1967,1255058
Jordan,1972,1613551
Jordan,1977,1937652
Jordan,1982,2347031
Jordan,1987,2820042
Jordan,1992,3867409
Jordan,1997,4526235
Jordan,2002,5307470
Jordan,2007,6053193
Kenya,1952,6464046
Kenya,1957,7454779
Kenya,1962,8678557
Kenya,1967,10191512
Kenya,1972,12044785
Kenya,1977,14500404
Kenya,1982,17661452
Kenya,1987,21198082
Kenya,1992,25020539
Kenya,1997,28263827
Kenya,2002,31386842
Kenya,2007,35610177
"Korea, Dem. Rep.",1952,8865488
"Korea, Dem. Rep.",1957,9411381
"Korea, Dem. Rep.",1962,10917494
"Korea, Dem. Rep.",1967,12617009
"Korea, Dem. Rep.",1972,14781241
"Korea, Dem. Rep.",1977,16325320
"Korea, Dem. Rep.",1982,17647518
"Korea, Dem. Rep.",1987,19067554
"Korea, Dem. Rep.",1992,20711375
"Korea, Dem. Rep.",1997,21585105
"Korea, Dem. Rep.",2002,22215365
"Korea, Dem. Rep.",2007,23301725
"Korea, Rep.",1952,20947571
"Korea, Rep.",1957,22611552
"Korea, Rep.",1962,26420307
"Korea, Rep.",1967,30131000
"Korea, Rep.",1972,33505000
"Korea, Rep.",1977,36436000
"Korea, Rep.",1982,39326000
"Korea, Rep.",1987,41622000
"Korea, Rep.",1992,43805450
"Korea, Rep.",1997,46173816
"Korea, Rep.",2002,47969150
"Korea, Rep.",2007,49044790
Kuwait,1952,160000
Kuwait,1957,212846
Kuwait,1962,358266
Kuwait,1967,575003
Kuwait,1972,841934
Kuwait,1977,1140357
Kuwait,1982,1497494
Kuwait,1987,1891487
Kuwait,1992,1418095
Kuwait,1997,1765345
Kuwait,2002,2111561
Kuwait,2007,2505559
Lebanon,1952,1439529
Lebanon,1957,1647412
Lebanon,1962,1886848
Lebanon,1967,2186894
Lebanon,1972,2680018
Lebanon,1977,3115787
Lebanon,1982,3086876
Lebanon,1987,3089353
Lebanon,1992,3219994
Lebanon,1997,3430388
Lebanon,2002,3677780
Lebanon,2007,3921278
Lesotho,1952,748747
Lesotho,1957,813338
Lesotho,1962,893143
Lesotho,1967,996380
Lesotho,1972,1116779
Lesotho,1977,1251524
Lesotho,1982,1411807
Lesotho,1987,1599200
Lesotho,1992,1803195
Lesotho,1997,1982823
Lesotho,2002,2046772
Lesotho,2007,2012649
Liberia,1952,863308
Liberia,1957,975950
Liberia,1962,1112796
Liberia,1967,1279406
Liberia,1972,1482628
Liberia,1977,1703617
Liberia,1982,1956875
Liberia,1987,2269414
Liberia,1992,1912974
Liberia,1997,2200725
Liberia,2002,2814651
Liberia,2007,3193942
Libya,1952,1019729
Libya,1957,1201578
Libya,1962,1441863
Libya,1967,1759224
Libya,1972,2183877
Libya,1977,2721783
Libya,1982,3344074
Libya,1987,3799845
Libya,1992,4364501
Libya,1997,4759670
Libya,2002,5368585
Libya,2007,6036914
Madagascar,1952,4762912
Madagascar,1957,5181679
Madagascar,1962,5703324
Madagascar,1967,6334556
Madagascar,1972,7082430
Madagascar,1977,8007166
Madagascar,1982,9171477
Madagascar,1987,10568642
Madagascar,1992,12210395
Madagascar,1997,14165114
Madagascar,2002,16473477
Madagascar,2007,19167654
Malawi,1952,2917802
Malawi,1957,3221238
Malawi,1962,3628608
Malawi,1967,4147252
Malawi,1972,4730997
Malawi,1977,5637246
Malawi,1982,6502825
Malawi,1987,7824747
Malawi,1992,10014249
Malawi,1997,10419991
Malawi,2002,11824495
Malawi,2007,13327079
Malaysia,1952,6748378
Malaysia,1957,7739235
Malaysia,1962,8906385
Malaysia,1967,10154878
Malaysia,1972,11441462
Malaysia,1977,12845381
Malaysia,1982,14441916
Malaysia,1987,16331785
Malaysia,1992,18319502
Malaysia,1997,20476091
Malaysia,2002,22662365
Malaysia,2007,24821286
Mali,1952,3838168
Mali,1957,4241884
Mali,1962,4690372
Mali,1967,5212416
Mali,1972,5828158
Mali,1977,6491649
Mali,1982,6998256
Mali,1987,7634008
Mali,1992,8416215
Mali,1997,9384984
Mali,2002,10580176
Mali,2007,12031795
Mauritania,1952,1022556
Mauritania,1957,1076852
Mauritania,1962,1146757
Mauritania,1967,1230542
Mauritania,1972,1332786
Mauritania,1977,1456688
Mauritania,1982,1622136
Mauritania,1987,1841240
Mauritania,1992,2119465
Mauritania,1997,2444741
Mauritania,2002,2828858
Mauritania,2007,3270065
Mauritius,1952,516556
Mauritius,1957,609816
Mauritius,1962,701016
Mauritius,1967,789309
Mauritius,1972,851334
Mauritius,1977,913025
Mauritius,1982,992040
Mauritius,1987,1042663
Mauritius,1992,1096202
Mauritius,1997,1149818
Mauritius,2002,1200206
Mauritius,2007,1250882
Mexico,1952,30144317
Mexico,1957,35015548
Mexico,1962,41121485
Mexico,1967,47995559
Mexico,1972,55984294
Mexico,1977,63759976
Mexico,1982,71640904
Mexico,1987,80122492
Mexico,1992,88111030
Mexico,1997,95895146
Mexico,2002,102479927
Mexico,2007,108700891
Mongolia,1952,800663
Mongolia,1957,882134
Mongolia,1962,1010280
Mongolia,1967,1149500
Mongolia,1972,1320500
Mongolia,1977,1528000
Mongolia,1982,1756032
Mongolia,1987,2015133
Mongolia,1992,2312802
Mongolia,1997,2494803
Mongolia,2002,2674234
Mongolia,2007,2874127
Montenegro,1952,413834
Montenegro,1957,442829
Montenegro,1962,474528
Montenegro,1967,501035
Montenegro,1972,527678
Montenegro,1977,560073
Montenegro,1982,562548
Montenegro,1987,569473
Montenegro,1992,621621
Montenegro,1997,692651
Montenegro,2002,720230
Montenegro,2007,684736
Morocco,1952,9939217
Morocco,1957,11406350
Morocco,1962,13056604
Morocco,1967,14770296
Morocco,1972,16660670
Morocco,1977,18396941
Morocco,1982,20198730
Morocco,1987,22987397
Morocco,1992,25798239
Morocco,1997,28529501
Morocco,2002,31167783
Morocco,2007,33757175
Mozambique,1952,6446316
Mozambique,1957,7038035
Mozambique,1962,7788944
Mozambique,1967,8680909
Mozambique,1972,9809596
Mozambique,1977,11127868
Mozambique,1982,12587223
Mozambique,1987,12891952
Mozambique,1992,13160731
Mozambique,1997,16603334
Mozambique,2002,18473780
Mozambique,2007,19951656
Myanmar,1952,20092996
Myanmar,1957,21731844
Myanmar,1962,23634436
Myanmar,1967,25870271
Myanmar,1972,28466390
Myanmar,1977,31528087
Myanmar,1982,34680442
Myanmar,1987,38028578
Myanmar,1992,40546538
Myanmar,1997,43247867
Myanmar,2002,45598081
Myanmar,2007,47761980
Namibia,1952,485831
Namibia,1957,548080
Namibia,1962,621392
Namibia,1967,706640
Namibia,1972,821782
Namibia,1977,977026
Namibia,1982,1099010
Namibia,1987,1278184
Namibia,1992,1554253
Namibia,1997,1774766
Namibia,2002,1972153
Namibia,2007,2055080
Nepal,1952,9182536
Nepal,1957,9682338
Nepal,1962,10332057
Nepal,1967,11261690
Nepal,1972,12412593
Nepal,1977,13933198
Nepal,1982,15796314
Nepal,1987,17917180
Nepal,1992,20326209
Nepal,1997,23001113
Nepal,2002,25873917
Nepal,2007,28901790
Netherlands,1952,10381988
Netherlands,1957,11026383
Netherlands,1962,11805689
Netherlands,1967,12596822
Netherlands,1972,13329874
Netherlands,1977,13852989
Netherlands,1982,14310401
Netherlands,1987,14665278
Netherlands,1992,15174244
Netherlands,1997,15604464
Netherlands,2002,16122830
Netherlands,2007,16570613
New Zealand,1952,1994794
New Zealand,1957,2229407
New Zealand,1962,2488550
New Zealand,1967,2728150
New Zealand,1972,2929100
New Zealand,1977,3164900
New Zealand,1982,3210650
New Zealand,1987,3317166
New Zealand,1992,3437674
